relation1	relation2	percentage of overlapping predicted edges
STRING::REACTION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.4036687572833085
bioarx::DrugHumGen:Compound:Gene	Hetionet::CbG::Compound:Gene	0.4026012747142778
INTACT::COLOCALIZATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.3901630954185136
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.3858509661992637
STRING::INHIBITION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.3706954930174746
STRING::REACTION::Gene:Gene	STRING::BINDING::Gene:Gene	0.36337155019043577
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::target::Compound:Gene	0.35628580140190025
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.35589722712787725
INTACT::COLOCALIZATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.3538053363904757
DRUGBANK::target::Compound:Gene	Hetionet::CbG::Compound:Gene	0.35038959320693047
Hetionet::GiG::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.34460053276616726
STRING::ACTIVATION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.3220081217372238
GNBR::E::Compound:Gene	GNBR::K::Compound:Gene	0.3145363734992215
Hetionet::GiG::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.3140370895014855
INTACT::DIRECT INTERACTION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.3020322719935721
GNBR::E::Compound:Gene	GNBR::E+::Compound:Gene	0.29793695640444834
Hetionet::GiG::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.2945465705605023
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.28691959313476334
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::enzyme::Compound:Gene	0.2852672147254189
DRUGBANK::enzyme::Compound:Gene	Hetionet::CbG::Compound:Gene	0.28462612379021035
STRING::CATALYSIS::Gene:Gene	STRING::BINDING::Gene:Gene	0.28228999157017737
Hetionet::GiG::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.25505793054554643
GNBR::B::Gene:Gene	GNBR::E+::Gene:Gene	0.2493013874670221
DRUGBANK::target::Compound:Gene	DRUGBANK::enzyme::Compound:Gene	0.21512224617487763
bioarx::HumGenHumGen:Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.2122229121068128
STRING::ACTIVATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.21180377414123533
