relation1	relation2	percentage of overlapping predicted edges
INTACT::COLOCALIZATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6094696969696973
Hetionet::GiG::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6068225195856779
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6009829876006351
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.599015706515707
GNBR::E::Compound:Gene	GNBR::E+::Compound:Gene	0.5747565179918124
Hetionet::GiG::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5633897268881793
Hetionet::GiG::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5619053169053173
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::target::Compound:Gene	0.5570519186695664
bioarx::DrugHumGen:Compound:Gene	Hetionet::CbG::Compound:Gene	0.5401525925055342
INTACT::COLOCALIZATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5132910184071181
GNBR::E+::Gene:Gene	GNBR::E::Gene:Gene	0.5068708536046004
Hetionet::GiG::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5039591248105184
GNBR::E::Compound:Gene	GNBR::K::Compound:Gene	0.4982511606041022
GNBR::V+::Gene:Gene	GNBR::I::Gene:Gene	0.4954456817692117
GNBR::Q::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.49371519003871966
DRUGBANK::target::Compound:Gene	Hetionet::CbG::Compound:Gene	0.49278262587086147
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.4922446670976086
INTACT::DIRECT INTERACTION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.49028255628100864
GNBR::B::Gene:Gene	GNBR::E+::Gene:Gene	0.48490393163767803
GNBR::Rg::Gene:Gene	GNBR::E+::Gene:Gene	0.47945924990042665
GNBR::Rg::Gene:Gene	GNBR::E::Gene:Gene	0.47622704093292356
GNBR::V+::Gene:Gene	GNBR::B::Gene:Gene	0.4758221474088352
GNBR::V+::Gene:Gene	GNBR::Q::Gene:Gene	0.4742307855543153
