relation1	relation2	percentage of overlapping predicted edges
GNBR::E::Compound:Gene	GNBR::K::Compound:Gene	0.7912753912753913
GNBR::N::Compound:Gene	GNBR::E-::Compound:Gene	0.739100899100899
GNBR::E::Compound:Gene	GNBR::E-::Compound:Gene	0.7374450549450554
GNBR::E::Compound:Gene	GNBR::E+::Compound:Gene	0.7272927072927076
GNBR::E+::Compound:Gene	GNBR::E-::Compound:Gene	0.7123676323676328
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::target::Compound:Gene	0.7099633699633696
GNBR::G::Gene:Disease	GNBR::X::Gene:Disease	0.6638952713952717
GNBR::K::Compound:Gene	GNBR::E-::Compound:Gene	0.6519135276488219
GNBR::N::Compound:Gene	GNBR::Z::Compound:Gene	0.6514441114441119
Hetionet::DdG::Disease:Gene	Hetionet::DuG::Disease:Gene	0.6504895104895104
bioarx::HumGenHumGen:Gene:Gene	STRING::OTHER::Gene:Gene	0.6478513153513157
GNBR::K::Compound:Gene	GNBR::E+::Compound:Gene	0.6390304956481431
GNBR::N::Compound:Gene	GNBR::A-::Compound:Gene	0.6319670035846511
GNBR::O::Compound:Gene	GNBR::Z::Compound:Gene	0.6289801864801868
GNBR::Md::Gene:Disease	GNBR::X::Gene:Disease	0.6282084582084584
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::OTHER::Gene:Gene	0.6254745254745258
GNBR::A+::Compound:Gene	GNBR::B::Compound:Gene	0.6245950128303073
GNBR::B::Compound:Gene	GNBR::O::Compound:Gene	0.6231260406260409
bioarx::HumGenHumGen:Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6206102231102233
GNBR::E::Compound:Gene	GNBR::N::Compound:Gene	0.6199309514015401
GNBR::H::Gene:Gene	STRING::OTHER::Gene:Gene	0.6197594072594073
INTACT::COLOCALIZATION::Gene:Gene	STRING::OTHER::Gene:Gene	0.6179711954711956
GNBR::A+::Compound:Gene	GNBR::N::Compound:Gene	0.6172881530234474
Hetionet::GcG::Gene:Gene	STRING::OTHER::Gene:Gene	0.6170612720612724
GNBR::Rg::Gene:Gene	GNBR::E+::Gene:Gene	0.6158774558774561
Hetionet::AuG::Anatomy:Gene	Hetionet::AeG::Anatomy:Gene	0.6151850600380014
GNBR::N::Compound:Gene	GNBR::O::Compound:Gene	0.6145943762120235
bioarx::HumGenHumGen:Gene:Gene	Hetionet::GcG::Gene:Gene	0.6127264402264404
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6124198840375316
GNBR::N::Compound:Gene	GNBR::E+::Compound:Gene	0.6112925962925966
GNBR::E-::Compound:Gene	GNBR::Z::Compound:Gene	0.610644714762362
bioarx::DrugHumGen:Compound:Gene	Hetionet::CbG::Compound:Gene	0.6105858030858032
GNBR::Te::Gene:Disease	GNBR::Md::Gene:Disease	0.6094144744144746
GNBR::A+::Compound:Gene	GNBR::E-::Compound:Gene	0.6093825292354705
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6090357681534158
STRING::OTHER::Gene:Gene	STRING::BINDING::Gene:Gene	0.6086191586191588
Hetionet::GcG::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.606970333587981
GNBR::X::Gene:Disease	GNBR::Ud::Gene:Disease	0.6047477522477525
GNBR::H::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6029683062036005
GNBR::E+::Gene:Gene	STRING::OTHER::Gene:Gene	0.6023901098901101
GNBR::N::Compound:Gene	GNBR::B::Compound:Gene	0.6020779710485595
GNBR::A+::Compound:Gene	GNBR::A-::Compound:Gene	0.602035268652916
GNBR::Md::Gene:Disease	GNBR::G::Gene:Disease	0.6010010251186721
