edge_type1	edge_type2	percentage of overlapping predicted edges
INTACT::COLOCALIZATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.569683225271461
Hetionet::GiG::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.566442495413084
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5639896704602593
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5579469180630174
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::target::Compound:Gene	0.5453419619596094
GNBR::E::Compound:Gene	GNBR::E+::Compound:Gene	0.5340685948038895
bioarx::DrugHumGen:Compound:Gene	Hetionet::CbG::Compound:Gene	0.5066943840473255
Hetionet::GiG::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5046894445423864
Hetionet::GiG::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5009040220185738
GNBR::E+::Gene:Gene	GNBR::E::Gene:Gene	0.4900415271003512
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.483012571363965
GNBR::E::Compound:Gene	GNBR::K::Compound:Gene	0.477902252546216
DRUGBANK::target::Compound:Gene	Hetionet::CbG::Compound:Gene	0.4774647248176662
INTACT::DIRECT INTERACTION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.4758880618865142
GNBR::B::Gene:Gene	GNBR::E+::Gene:Gene	0.4753029813323936
INTACT::COLOCALIZATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.4717212809550274
Hetionet::GiG::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.46639104359692646
GNBR::Rg::Gene:Gene	GNBR::E::Gene:Gene	0.4508653472430569
GNBR::V+::Gene:Gene	GNBR::B::Gene:Gene	0.43688066749212295
GNBR::Rg::Gene:Gene	GNBR::E+::Gene:Gene	0.43582381241050017
GNBR::Rg::Gene:Gene	GNBR::I::Gene:Gene	0.42942183977013726
GNBR::B::Gene:Gene	GNBR::E::Gene:Gene	0.42776944847378323
STRING::INHIBITION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.42588604549904896
GNBR::V+::Gene:Gene	GNBR::I::Gene:Gene	0.42573719108548863
GNBR::H::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.4256645590391724
GNBR::V+::Gene:Gene	GNBR::E::Gene:Gene	0.4235522355181802
GNBR::V+::Gene:Gene	GNBR::Rg::Gene:Gene	0.42354866925300405
GNBR::E+::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.4209185740300297
GNBR::I::Gene:Gene	GNBR::H::Gene:Gene	0.41868961018341827
GNBR::E+::Gene:Gene	GNBR::H::Gene:Gene	0.41724373150069766
GNBR::Q::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.41686580533329787
GNBR::Rg::Gene:Gene	GNBR::H::Gene:Gene	0.416702062986893
GNBR::Q::Gene:Gene	GNBR::H::Gene:Gene	0.41659240570231304
GNBR::H::Gene:Gene	GNBR::E::Gene:Gene	0.415318352957672
GNBR::Rg::Gene:Gene	Hetionet::CrC::Compound:Compound	0.4117034264325288
GNBR::Rg::Gene:Gene	GNBR::B::Gene:Gene	0.40849744167081653
GNBR::V+::Gene:Gene	GNBR::E+::Gene:Gene	0.40829886917348257
GNBR::I::Gene:Gene	GNBR::E::Gene:Gene	0.4076572971232416
GNBR::V+::Gene:Gene	GNBR::H::Gene:Gene	0.4069673901949445
GNBR::I::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.4067679903515821
INTACT::COLOCALIZATION::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.40651258012713143
GNBR::V+::Gene:Gene	GNBR::Q::Gene:Gene	0.40486874924181443
INTACT::CLEAVAGE REACTION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.40396778831763364
GNBR::H::Gene:Gene	Hetionet::CrC::Compound:Compound	0.40197073566268626
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.3997744524137714
Hetionet::CrC::Compound:Compound	STRING::EXPRESSION::Gene:Gene	0.3994683936634404
GNBR::V+::Gene:Gene	Hetionet::CrC::Compound:Compound	0.3993915716206741
GNBR::B::Gene:Gene	GNBR::H::Gene:Gene	0.399232151577353
GNBR::E::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3954202935007891
GNBR::Rg::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3927632085836424
GNBR::Q::Gene:Gene	GNBR::Rg::Gene:Gene	0.3924046369866804
GNBR::I::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.392364647736165
GNBR::V+::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3908215546063846
INTACT::ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.3905087963292299
GNBR::Q::Gene:Gene	GNBR::E::Gene:Gene	0.3893053532295021
bioarx::HumGenHumGen:Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.3877395188231105
bioarx::HumGenHumGen:Gene:Gene	GNBR::B::Gene:Gene	0.3877144699126125
bioarx::HumGenHumGen:Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.38768241820099403
GNBR::B::Gene:Gene	GNBR::I::Gene:Gene	0.3874565295385733
STRING::REACTION::Gene:Gene	STRING::BINDING::Gene:Gene	0.38722552645153285
