relation_1	relation_2	pair-wise relation embedding cosine similarity
bioarx::DrugHumGen:Compound:Gene	Hetionet::CbG::Compound:Gene	0.9083021879196167
DRUGBANK::target::Compound:Gene	Hetionet::CbG::Compound:Gene	0.8909562826156616
Hetionet::GiG::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.8885922431945801
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::target::Compound:Gene	0.8875300884246826
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.8780642747879028
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.8548958897590637
GNBR::E::Compound:Gene	GNBR::E+::Compound:Gene	0.8452815413475037
INTACT::COLOCALIZATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.8416061997413635
GNBR::E::Compound:Gene	GNBR::K::Compound:Gene	0.8327851295471191
DRUGBANK::enzyme::Compound:Gene	Hetionet::CbG::Compound:Gene	0.8283817768096924
Hetionet::GiG::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.8265200257301331
Hetionet::GiG::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.8223620653152466
STRING::REACTION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.8084125518798828
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::enzyme::Compound:Gene	0.8041905164718628
STRING::REACTION::Gene:Gene	STRING::BINDING::Gene:Gene	0.7948799729347229
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.7879431247711182
INTACT::COLOCALIZATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.775758683681488
Hetionet::GiG::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.7708095908164978
STRING::INHIBITION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.7688446640968323
GNBR::B::Gene:Gene	GNBR::E+::Gene:Gene	0.7640830874443054
INTACT::DIRECT INTERACTION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.7430978417396545
STRING::ACTIVATION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.7298398613929749
bioarx::HumGenHumGen:Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.7189889550209045
DRUGBANK::target::Compound:Gene	DRUGBANK::enzyme::Compound:Gene	0.7169100642204285
bioarx::HumGenHumGen:Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.7123732566833496
bioarx::HumGenHumGen:Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.7100045084953308
bioarx::HumGenHumGen:Gene:Gene	Hetionet::GiG::Gene:Gene	0.705714225769043
GNBR::N::Compound:Gene	GNBR::E-::Compound:Gene	0.6758753061294556
STRING::CATALYSIS::Gene:Gene	STRING::BINDING::Gene:Gene	0.6570643186569214
GNBR::N::Compound:Gene	GNBR::A-::Compound:Gene	0.6488076448440552
INTACT::ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6486449241638184
bioarx::HumGenHumGen:Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6389302015304565
STRING::ACTIVATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6345533728599548
DRUGBANK::carrier::Compound:Gene	Hetionet::CbG::Compound:Gene	0.6307578682899475
GNBR::E+::Gene:Gene	GNBR::E::Gene:Gene	0.6243402361869812
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::carrier::Compound:Gene	0.6238002777099609
DGIDB::INHIBITOR::Gene:Compound	DGIDB::OTHER::Gene:Compound	0.6226482391357422
Hetionet::GiG::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6223467588424683
GNBR::K::Compound:Gene	GNBR::E+::Compound:Gene	0.6211202144622803
STRING::PTMOD::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6137294769287109
INTACT::ASSOCIATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6048475503921509
DGIDB::INHIBITOR::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.6034663915634155
DGIDB::OTHER::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.6024573445320129
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.5970216393470764
INTACT::ASSOCIATION::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5962768793106079
GNBR::E::Compound:Gene	GNBR::E-::Compound:Gene	0.5945358872413635
Hetionet::AuG::Anatomy:Gene	Hetionet::AeG::Anatomy:Gene	0.5871185064315796
DRUGBANK::target::Compound:Gene	DRUGBANK::carrier::Compound:Gene	0.5839576721191406
bioarx::HumGenHumGen:Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.583901584148407
Hetionet::GiG::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.5830085277557373
DGIDB::OTHER::Gene:Compound	DGIDB::BINDER::Gene:Compound	0.5799245834350586
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5773322582244873
