relation_1	relation_2	pair-wise relation embedding cosine similarity
Hetionet::DaG::Disease:Gene	INTACT::ASSOCIATION::Compound:Gene	0.23346853256225586
DRUGBANK::x-atc::Compound:Atc	GNBR::in_tax::Gene:Tax	0.23311994969844818
GNBR::L::Gene:Disease	Hetionet::DpS::Disease:Symptom	0.2269076704978943
DGIDB::BLOCKER::Gene:Compound	GNBR::J::Gene:Disease	0.22688420116901398
DGIDB::AGONIST::Gene:Compound	INTACT::ASSOCIATION::Compound:Gene	0.2225879281759262
DRUGBANK::enzyme::Compound:Gene	GNBR::Ud::Gene:Disease	0.21916791796684265
Hetionet::DpS::Disease:Symptom	Hetionet::CbG::Compound:Gene	0.21718227863311768
GNBR::N::Compound:Gene	Hetionet::GcG::Gene:Gene	0.21505777537822723
GNBR::W::Gene:Gene	Hetionet::CdG::Compound:Gene	0.21384155750274658
GNBR::Z::Compound:Gene	GNBR::in_tax::Gene:Tax	0.2115054726600647
Hetionet::DdG::Disease:Gene	Hetionet::PCiC::Pharmacologic Class:Compound	0.2099580317735672
GNBR::Pa::Compound:Disease	INTACT::CLEAVAGE REACTION::Gene:Gene	0.20933251082897186
GNBR::Mp::Compound:Disease	GNBR::E::Gene:Gene	0.20657628774642944
GNBR::Z::Compound:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.2042882889509201
DRUGBANK::x-atc::Compound:Atc	GNBR::Ud::Gene:Disease	0.20161719620227814
GNBR::Ud::Gene:Disease	Hetionet::AdG::Anatomy:Gene	0.19973894953727722
DGIDB::BLOCKER::Gene:Compound	GNBR::C::Compound:Disease	0.19834105670452118
GNBR::B::Compound:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.1953749805688858
DRUGBANK::x-atc::Compound:Atc	INTACT::CLEAVAGE REACTION::Gene:Gene	0.19362878799438477
bioarx::Covid2_acc_host_gene::Disease:Gene	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	0.19318372011184692
DGIDB::ANTIBODY::Gene:Compound	GNBR::C::Compound:Disease	0.191367968916893
DRUGBANK::ddi-interactor-in::Compound:Compound	GNBR::Rg::Gene:Gene	0.18995746970176697
Hetionet::GpPW::Gene:Pathway	INTACT::CLEAVAGE REACTION::Gene:Gene	0.1899324506521225
DGIDB::PARTIAL AGONIST::Gene:Compound	GNBR::Q::Gene:Gene	0.18612870573997498
Hetionet::DpS::Disease:Symptom	Hetionet::GpPW::Gene:Pathway	0.18594174087047577
bioarx::DrugVirGen:Compound:Gene	GNBR::D::Gene:Disease	0.18445995450019836
bioarx::Covid2_acc_host_gene::Disease:Gene	Hetionet::CuG::Compound:Gene	0.18394018709659576
DGIDB::AGONIST::Gene:Compound	GNBR::Z::Compound:Gene	0.1829354614019394
GNBR::Q::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.1827976554632187
GNBR::I::Gene:Gene	Hetionet::AeG::Anatomy:Gene	0.18135613203048706
DRUGBANK::x-atc::Compound:Atc	GNBR::O::Compound:Gene	0.1807970106601715
bioarx::Covid2_acc_host_gene::Disease:Gene	GNBR::Sa::Compound:Disease	0.18062357604503632
GNBR::B::Gene:Gene	Hetionet::CtD::Compound:Disease	0.1798379123210907
DRUGBANK::target::Compound:Gene	DRUGBANK::treats::Compound:Disease	0.17982806265354156
bioarx::Coronavirus_ass_host_gene::Disease:Gene	Hetionet::AdG::Anatomy:Gene	0.17964765429496765
DGIDB::AGONIST::Gene:Compound	Hetionet::DaG::Disease:Gene	0.17947950959205627
DRUGBANK::target::Compound:Gene	Hetionet::CbG::Compound:Gene	0.1789146065711975
GNBR::O::Compound:Gene	GNBR::Y::Gene:Disease	0.17858074605464935
GNBR::V+::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.17756931483745575
GNBR::C::Compound:Disease	GNBR::L::Gene:Disease	0.17741107940673828
GNBR::B::Compound:Gene	GNBR::Te::Gene:Disease	0.1769365519285202
bioarx::VirGenHumGen:Gene:Gene	GNBR::K::Compound:Gene	0.17621727287769318
DGIDB::MODULATOR::Gene:Compound	GNBR::E+::Compound:Gene	0.17614488303661346
GNBR::E::Compound:Gene	Hetionet::DaG::Disease:Gene	0.17541150748729706
GNBR::A-::Compound:Gene	Hetionet::CrC::Compound:Compound	0.17522723972797394
bioarx::Coronavirus_ass_host_gene::Disease:Gene	Hetionet::DlA::Disease:Anatomy	0.17478205263614655
DRUGBANK::carrier::Compound:Gene	GNBR::Pr::Compound:Disease	0.173777237534523
Hetionet::GpPW::Gene:Pathway	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.1737643927335739
bioarx::DrugVirGen:Compound:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.17366492748260498
Hetionet::AuG::Anatomy:Gene	Hetionet::GpPW::Gene:Pathway	0.1733836531639099
DGIDB::ANTIBODY::Gene:Compound	GNBR::I::Gene:Gene	0.17249129712581635
GNBR::I::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.17208784818649292
GNBR::T::Compound:Disease	GNBR::H::Gene:Gene	0.1718982309103012
GNBR::O::Compound:Gene	Hetionet::DaG::Disease:Gene	0.17148078978061676
DGIDB::CHANNEL BLOCKER::Gene:Compound	GNBR::Te::Gene:Disease	0.1713104099035263
Hetionet::CcSE::Compound:Side Effect	STRING::REACTION::Gene:Gene	0.17113077640533447
GNBR::E-::Compound:Gene	GNBR::Te::Gene:Disease	0.170998215675354
Hetionet::CdG::Compound:Gene	Hetionet::GpPW::Gene:Pathway	0.17015443742275238
GNBR::K::Compound:Gene	Hetionet::DlA::Disease:Anatomy	0.1700141280889511
DGIDB::ANTAGONIST::Gene:Compound	INTACT::CLEAVAGE REACTION::Gene:Gene	0.1699250042438507
Hetionet::AuG::Anatomy:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.16974276304244995
Hetionet::CdG::Compound:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.16920432448387146
GNBR::E+::Gene:Gene	Hetionet::GpMF::Gene:Molecular Function	0.16905423998832703
GNBR::Sa::Compound:Disease	GNBR::G::Gene:Disease	0.16768749058246613
Hetionet::DlA::Disease:Anatomy	Hetionet::CuG::Compound:Gene	0.16759918630123138
bioarx::Covid2_acc_host_gene::Disease:Gene	GNBR::J::Gene:Disease	0.1669314205646515
Hetionet::DpS::Disease:Symptom	Hetionet::AdG::Anatomy:Gene	0.1662822812795639
GNBR::X::Gene:Disease	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.16583317518234253
GNBR::C::Compound:Disease	GNBR::in_tax::Gene:Tax	0.16569240391254425
GNBR::E::Compound:Gene	Hetionet::GiG::Gene:Gene	0.16568341851234436
GNBR::Sa::Compound:Disease	Hetionet::CcSE::Compound:Side Effect	0.16539841890335083
DGIDB::AGONIST::Gene:Compound	Hetionet::CuG::Compound:Gene	0.16499942541122437
GNBR::O::Compound:Gene	GNBR::in_tax::Gene:Tax	0.16466200351715088
DGIDB::PARTIAL AGONIST::Gene:Compound	GNBR::U::Gene:Disease	0.16358186304569244
DGIDB::CHANNEL BLOCKER::Gene:Compound	GNBR::U::Gene:Disease	0.1633424311876297
Hetionet::DpS::Disease:Symptom	Hetionet::DaG::Disease:Gene	0.16248345375061035
GNBR::Z::Compound:Gene	GNBR::Mp::Compound:Disease	0.16224779188632965
GNBR::X::Gene:Disease	GNBR::E::Gene:Gene	0.1620209962129593
GNBR::A+::Compound:Gene	INTACT::ASSOCIATION::Gene:Gene	0.16200341284275055
bioarx::Coronavirus_ass_host_gene::Disease:Gene	Hetionet::DaG::Disease:Gene	0.16163437068462372
bioarx::Covid2_acc_host_gene::Disease:Gene	GNBR::Z::Compound:Gene	0.16153928637504578
bioarx::Coronavirus_ass_host_gene::Disease:Gene	INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	0.16127656400203705
DRUGBANK::ddi-interactor-in::Compound:Compound	GNBR::W::Gene:Gene	0.16104215383529663
GNBR::J::Gene:Disease	STRING::BINDING::Gene:Gene	0.16066525876522064
DGIDB::OTHER::Gene:Compound	Hetionet::DaG::Disease:Gene	0.16044719517230988
GNBR::O::Compound:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.16004328429698944
DGIDB::MODULATOR::Gene:Compound	GNBR::E::Compound:Gene	0.1596880406141281
GNBR::B::Compound:Gene	GNBR::Ud::Gene:Disease	0.15868128836154938
