relation_1	relation_2	pair-wise relation embedding cosine similarity
GNBR::E::Compound:Gene	GNBR::K::Compound:Gene	0.9774186015129089
GNBR::E::Compound:Gene	GNBR::E+::Compound:Gene	0.9764736890792847
GNBR::N::Compound:Gene	GNBR::E-::Compound:Gene	0.9657549858093262
GNBR::E::Compound:Gene	GNBR::E-::Compound:Gene	0.9590750932693481
GNBR::K::Compound:Gene	GNBR::E+::Compound:Gene	0.9415313005447388
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::target::Compound:Gene	0.9381139278411865
GNBR::E+::Compound:Gene	GNBR::E-::Compound:Gene	0.9381036162376404
GNBR::E::Compound:Gene	GNBR::N::Compound:Gene	0.9351436495780945
GNBR::L::Gene:Disease	GNBR::G::Gene:Disease	0.9307166337966919
GNBR::K::Compound:Gene	GNBR::E-::Compound:Gene	0.9276957511901855
GNBR::E::Compound:Gene	GNBR::A+::Compound:Gene	0.9274990558624268
GNBR::J::Gene:Disease	GNBR::Md::Gene:Disease	0.9263559579849243
GNBR::L::Gene:Disease	GNBR::X::Gene:Disease	0.9257882237434387
GNBR::E::Compound:Gene	GNBR::O::Compound:Gene	0.921848475933075
GNBR::N::Compound:Gene	GNBR::A-::Compound:Gene	0.9210916757583618
GNBR::J::Gene:Disease	GNBR::Te::Gene:Disease	0.9201794862747192
GNBR::G::Gene:Disease	GNBR::X::Gene:Disease	0.920130729675293
Hetionet::DdG::Disease:Gene	Hetionet::DuG::Disease:Gene	0.9190094470977783
GNBR::Md::Gene:Disease	GNBR::G::Gene:Disease	0.9181673526763916
GNBR::T::Compound:Disease	GNBR::J::Compound:Disease	0.9174960851669312
GNBR::B::Compound:Gene	GNBR::O::Compound:Gene	0.9155205488204956
GNBR::N::Compound:Gene	GNBR::K::Compound:Gene	0.9152817726135254
GNBR::Sa::Compound:Disease	GNBR::Pa::Compound:Disease	0.9136109352111816
GNBR::L::Gene:Disease	GNBR::Md::Gene:Disease	0.9135061502456665
Hetionet::AuG::Anatomy:Gene	Hetionet::AeG::Anatomy:Gene	0.9131575226783752
GNBR::N::Compound:Gene	GNBR::E+::Compound:Gene	0.912896990776062
GNBR::E::Compound:Gene	GNBR::B::Compound:Gene	0.9126094579696655
GNBR::T::Compound:Disease	GNBR::Pa::Compound:Disease	0.911968469619751
GNBR::J::Gene:Disease	GNBR::X::Gene:Disease	0.9109538793563843
GNBR::Te::Gene:Disease	GNBR::Md::Gene:Disease	0.910886287689209
GNBR::Md::Gene:Disease	GNBR::X::Gene:Disease	0.9106067419052124
GNBR::T::Compound:Disease	GNBR::Sa::Compound:Disease	0.9099173545837402
GNBR::Y::Gene:Disease	GNBR::J::Gene:Disease	0.909379780292511
GNBR::A+::Compound:Gene	GNBR::E+::Compound:Gene	0.9091066122055054
GNBR::E::Compound:Gene	GNBR::Z::Compound:Gene	0.9089664220809937
GNBR::O::Compound:Gene	GNBR::Z::Compound:Gene	0.9068806767463684
GNBR::A+::Compound:Gene	GNBR::E-::Compound:Gene	0.9067444801330566
GNBR::A+::Compound:Gene	GNBR::K::Compound:Gene	0.9062308669090271
GNBR::K::Compound:Gene	GNBR::O::Compound:Gene	0.9057847857475281
Hetionet::CuG::Compound:Gene	Hetionet::CdG::Compound:Gene	0.9054685831069946
GNBR::L::Gene:Disease	GNBR::Ud::Gene:Disease	0.9050476551055908
GNBR::A+::Compound:Gene	GNBR::N::Compound:Gene	0.9044586420059204
GNBR::T::Compound:Disease	GNBR::Mp::Compound:Disease	0.9041059017181396
DRUGBANK::target::Compound:Gene	DRUGBANK::enzyme::Compound:Gene	0.9039217233657837
GNBR::B::Compound:Gene	GNBR::Z::Compound:Gene	0.903803825378418
GNBR::J::Gene:Disease	GNBR::G::Gene:Disease	0.9025652408599854
GNBR::E+::Compound:Gene	GNBR::O::Compound:Gene	0.9018427133560181
GNBR::A+::Compound:Gene	GNBR::B::Compound:Gene	0.9018011093139648
GNBR::Mp::Compound:Disease	GNBR::J::Compound:Disease	0.9015520811080933
GNBR::U::Gene:Disease	GNBR::Y::Gene:Disease	0.9013980627059937
GNBR::Y::Gene:Disease	GNBR::Te::Gene:Disease	0.9010864496231079
GNBR::Sa::Compound:Disease	GNBR::Pr::Compound:Disease	0.8968930840492249
GNBR::L::Gene:Disease	GNBR::J::Gene:Disease	0.8953040838241577
GNBR::Pa::Compound:Disease	GNBR::Pr::Compound:Disease	0.8946009874343872
GNBR::K::Compound:Gene	GNBR::B::Compound:Gene	0.8941065073013306
GNBR::E-::Compound:Gene	GNBR::O::Compound:Gene	0.8931910991668701
GNBR::Te::Gene:Disease	GNBR::G::Gene:Disease	0.8930318355560303
GNBR::Y::Gene:Disease	GNBR::Md::Gene:Disease	0.8926271796226501
GNBR::K::Compound:Gene	GNBR::Z::Compound:Gene	0.8924593925476074
GNBR::Te::Gene:Disease	GNBR::X::Gene:Disease	0.8922607898712158
GNBR::E+::Compound:Gene	GNBR::B::Compound:Gene	0.8920714855194092
GNBR::X::Gene:Disease	GNBR::Ud::Gene:Disease	0.8906952738761902
GNBR::A+::Compound:Gene	GNBR::O::Compound:Gene	0.8903534412384033
GNBR::T::Compound:Disease	GNBR::C::Compound:Disease	0.8890430927276611
GNBR::N::Compound:Gene	GNBR::O::Compound:Gene	0.8885754346847534
GNBR::L::Gene:Disease	GNBR::Te::Gene:Disease	0.8879567384719849
GNBR::Sa::Compound:Disease	GNBR::J::Compound:Disease	0.8876768946647644
GNBR::T::Compound:Disease	GNBR::Pr::Compound:Disease	0.88722825050354
GNBR::Pr::Compound:Disease	GNBR::J::Compound:Disease	0.8869098424911499
GNBR::E-::Compound:Gene	GNBR::Z::Compound:Gene	0.8865379095077515
GNBR::E+::Compound:Gene	GNBR::Z::Compound:Gene	0.8863785266876221
GNBR::A-::Compound:Gene	GNBR::E-::Compound:Gene	0.8858014345169067
DRUGBANK::treats::Compound:Disease	GNBR::T::Compound:Disease	0.8845264911651611
GNBR::U::Gene:Disease	GNBR::J::Gene:Disease	0.8841767907142639
GNBR::N::Compound:Gene	GNBR::Z::Compound:Gene	0.883989691734314
GNBR::Md::Gene:Disease	GNBR::D::Gene:Disease	0.882692813873291
GNBR::Mp::Compound:Disease	GNBR::Pr::Compound:Disease	0.8826583623886108
GNBR::J::Gene:Disease	GNBR::D::Gene:Disease	0.8819217681884766
GNBR::U::Gene:Disease	GNBR::Te::Gene:Disease	0.8817081451416016
GNBR::Y::Gene:Disease	GNBR::X::Gene:Disease	0.8816530704498291
GNBR::B::Compound:Gene	GNBR::E-::Compound:Gene	0.8815966248512268
GNBR::J::Gene:Disease	GNBR::Ud::Gene:Disease	0.881489098072052
GNBR::G::Gene:Disease	GNBR::Ud::Gene:Disease	0.880051851272583
GNBR::L::Gene:Disease	GNBR::Y::Gene:Disease	0.8793716430664062
Hetionet::AdG::Anatomy:Gene	Hetionet::AuG::Anatomy:Gene	0.8791533708572388
DGIDB::INHIBITOR::Gene:Compound	DGIDB::OTHER::Gene:Compound	0.8787721991539001
GNBR::Pa::Compound:Disease	GNBR::J::Compound:Disease	0.8787317276000977
GNBR::Y::Gene:Disease	GNBR::G::Gene:Disease	0.8784488439559937
DRUGBANK::target::Compound:Gene	DRUGBANK::carrier::Compound:Gene	0.8776023387908936
GNBR::L::Gene:Disease	GNBR::D::Gene:Disease	0.8763117790222168
GNBR::D::Gene:Disease	GNBR::X::Gene:Disease	0.8760941028594971
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::enzyme::Compound:Gene	0.8754540085792542
GNBR::Pa::Compound:Disease	GNBR::Mp::Compound:Disease	0.8740050792694092
GNBR::Sa::Compound:Disease	GNBR::Mp::Compound:Disease	0.8738551139831543
Hetionet::AdG::Anatomy:Gene	Hetionet::AeG::Anatomy:Gene	0.8706878423690796
GNBR::N::Compound:Gene	GNBR::B::Compound:Gene	0.8703353404998779
GNBR::Y::Gene:Disease	GNBR::Ud::Gene:Disease	0.8697527647018433
GNBR::Md::Gene:Disease	GNBR::Ud::Gene:Disease	0.8685964345932007
DGIDB::OTHER::Gene:Compound	DGIDB::BINDER::Gene:Compound	0.8681207299232483
GNBR::U::Gene:Disease	GNBR::Md::Gene:Disease	0.8670618534088135
GNBR::A+::Compound:Gene	GNBR::Z::Compound:Gene	0.8665900230407715
GNBR::Te::Gene:Disease	GNBR::D::Gene:Disease	0.8650904893875122
GNBR::Y::Gene:Disease	GNBR::D::Gene:Disease	0.8646886348724365
GNBR::U::Gene:Disease	GNBR::Ud::Gene:Disease	0.8636506795883179
GNBR::A+::Compound:Gene	GNBR::A-::Compound:Gene	0.8634333610534668
GNBR::G::Gene:Disease	GNBR::D::Gene:Disease	0.8632650375366211
GNBR::U::Gene:Disease	GNBR::X::Gene:Disease	0.861677885055542
GNBR::L::Gene:Disease	GNBR::U::Gene:Disease	0.861333966255188
GNBR::E::Compound:Gene	GNBR::A-::Compound:Gene	0.8612880706787109
GNBR::U::Gene:Disease	GNBR::G::Gene:Disease	0.8609933853149414
GNBR::Te::Gene:Disease	GNBR::Ud::Gene:Disease	0.8609040975570679
GNBR::C::Compound:Disease	GNBR::Pa::Compound:Disease	0.85878586769104
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::carrier::Compound:Gene	0.8587356805801392
bioarx::DrugHumGen:Compound:Gene	Hetionet::CbG::Compound:Gene	0.8564130663871765
GNBR::D::Gene:Disease	GNBR::Ud::Gene:Disease	0.8557536602020264
GNBR::U::Gene:Disease	GNBR::D::Gene:Disease	0.8524526357650757
GNBR::C::Compound:Disease	GNBR::J::Compound:Disease	0.8517844676971436
GNBR::K::Compound:Gene	GNBR::A-::Compound:Gene	0.8447684049606323
DRUGBANK::enzyme::Compound:Gene	DRUGBANK::carrier::Compound:Gene	0.8442755937576294
Hetionet::DdG::Disease:Gene	Hetionet::DaG::Disease:Gene	0.843658447265625
Hetionet::DaG::Disease:Gene	Hetionet::DuG::Disease:Gene	0.8433107137680054
DGIDB::OTHER::Gene:Compound	DGIDB::AGONIST::Gene:Compound	0.8430986404418945
INTACT::PHYSICAL ASSOCIATION::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.8405084609985352
GNBR::C::Compound:Disease	GNBR::Mp::Compound:Disease	0.8367684483528137
DRUGBANK::target::Compound:Gene	Hetionet::CbG::Compound:Gene	0.8352699279785156
GNBR::A-::Compound:Gene	GNBR::O::Compound:Gene	0.8337363004684448
GNBR::C::Compound:Disease	GNBR::Pr::Compound:Disease	0.8336747288703918
GNBR::A-::Compound:Gene	GNBR::E+::Compound:Gene	0.8327590227127075
DGIDB::INHIBITOR::Gene:Compound	DGIDB::BINDER::Gene:Compound	0.8317127227783203
GNBR::A-::Compound:Gene	GNBR::B::Compound:Gene	0.8260990381240845
DGIDB::AGONIST::Gene:Compound	DGIDB::BINDER::Gene:Compound	0.8258391618728638
GNBR::A-::Compound:Gene	GNBR::Z::Compound:Gene	0.8231397867202759
GNBR::C::Compound:Disease	GNBR::Sa::Compound:Disease	0.822803795337677
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::AGONIST::Gene:Compound	0.8173789978027344
DGIDB::OTHER::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.8168058395385742
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::OTHER::Gene:Compound	0.8156117796897888
DRUGBANK::enzyme::Compound:Gene	Hetionet::CbG::Compound:Gene	0.8090060949325562
DGIDB::CHANNEL BLOCKER::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.8075331449508667
DRUGBANK::treats::Compound:Disease	GNBR::Sa::Compound:Disease	0.8067758083343506
bioarx::DrugHumGen:Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.8051353693008423
Hetionet::CtD::Compound:Disease	Hetionet::CpD::Compound:Disease	0.8043925166130066
DGIDB::INHIBITOR::Gene:Compound	DGIDB::AGONIST::Gene:Compound	0.8040677309036255
bioarx::DrugHumGen:Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.8006172776222229
DRUGBANK::treats::Compound:Disease	GNBR::J::Compound:Disease	0.7987571954727173
DRUGBANK::treats::Compound:Disease	GNBR::Mp::Compound:Disease	0.7980599403381348
DRUGBANK::target::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7929916381835938
DGIDB::INHIBITOR::Gene:Compound	DGIDB::ANTAGONIST::Gene:Compound	0.7893228530883789
DRUGBANK::treats::Compound:Disease	GNBR::C::Compound:Disease	0.7882442474365234
DRUGBANK::target::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7880446314811707
DRUGBANK::treats::Compound:Disease	GNBR::Pa::Compound:Disease	0.7869255542755127
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::BINDER::Gene:Compound	0.785770058631897
DRUGBANK::target::Compound:Gene	GNBR::N::Compound:Gene	0.7845131158828735
DRUGBANK::target::Compound:Gene	GNBR::A+::Compound:Gene	0.7834585905075073
DRUGBANK::treats::Compound:Disease	GNBR::Pr::Compound:Disease	0.7832028865814209
bioarx::DrugHumGen:Compound:Gene	GNBR::N::Compound:Gene	0.7821608781814575
DRUGBANK::carrier::Compound:Gene	Hetionet::CbG::Compound:Gene	0.7745737433433533
DGIDB::BINDER::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.7734634876251221
DGIDB::OTHER::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.7659268379211426
DRUGBANK::target::Compound:Gene	GNBR::E-::Compound:Gene	0.7651534080505371
GNBR::E::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7643963694572449
DGIDB::OTHER::Gene:Compound	DGIDB::CHANNEL BLOCKER::Gene:Compound	0.7642018795013428
DGIDB::OTHER::Gene:Compound	DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	0.7633923292160034
bioarx::DrugHumGen:Compound:Gene	GNBR::A+::Compound:Gene	0.7613496780395508
DGIDB::BINDER::Gene:Compound	DGIDB::CHANNEL BLOCKER::Gene:Compound	0.7593840956687927
GNBR::K::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7578698992729187
DRUGBANK::carrier::Compound:Gene	GNBR::N::Compound:Gene	0.7577674388885498
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	0.7572171688079834
bioarx::DrugHumGen:Compound:Gene	GNBR::E-::Compound:Gene	0.756767749786377
GNBR::E-::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.756428599357605
DRUGBANK::enzyme::Compound:Gene	GNBR::N::Compound:Gene	0.7556815147399902
GNBR::N::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7547332048416138
DGIDB::INHIBITOR::Gene:Compound	DGIDB::BLOCKER::Gene:Compound	0.7542939186096191
bioarx::DrugHumGen:Compound:Gene	GNBR::A-::Compound:Gene	0.7532108426094055
DGIDB::OTHER::Gene:Compound	DGIDB::BLOCKER::Gene:Compound	0.7528714537620544
GNBR::E+::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7525138854980469
DRUGBANK::target::Compound:Gene	GNBR::A-::Compound:Gene	0.7524795532226562
DGIDB::INHIBITOR::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.7524476051330566
GNBR::O::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7524316310882568
DRUGBANK::carrier::Compound:Gene	GNBR::A+::Compound:Gene	0.7523049712181091
DGIDB::INHIBITOR::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.7519590854644775
GNBR::E::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7518676519393921
DGIDB::INHIBITOR::Gene:Compound	DGIDB::CHANNEL BLOCKER::Gene:Compound	0.7517938613891602
GNBR::N::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7500882148742676
DRUGBANK::target::Compound:Gene	GNBR::E::Compound:Gene	0.7487750053405762
GNBR::A+::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.746852695941925
DGIDB::AGONIST::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.7464186549186707
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::CHANNEL BLOCKER::Gene:Compound	0.7453824281692505
DGIDB::AGONIST::Gene:Compound	DGIDB::CHANNEL BLOCKER::Gene:Compound	0.7453114986419678
GNBR::Z::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7451285123825073
GNBR::B::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7449730634689331
DRUGBANK::carrier::Compound:Gene	GNBR::E-::Compound:Gene	0.7445732355117798
GNBR::B::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7442089915275574
DRUGBANK::target::Compound:Gene	GNBR::K::Compound:Gene	0.7423568367958069
DRUGBANK::carrier::Compound:Gene	GNBR::K::Compound:Gene	0.7419336438179016
DGIDB::BINDER::Gene:Compound	DGIDB::BLOCKER::Gene:Compound	0.7411755919456482
GNBR::K::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7411179542541504
GNBR::E+::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7405810356140137
DRUGBANK::target::Compound:Gene	GNBR::Z::Compound:Gene	0.7400701642036438
DRUGBANK::carrier::Compound:Gene	GNBR::E::Compound:Gene	0.7399932146072388
GNBR::E-::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7396391034126282
DRUGBANK::enzyme::Compound:Gene	GNBR::E-::Compound:Gene	0.7394356727600098
GNBR::Z::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7393957376480103
bioarx::DrugHumGen:Compound:Gene	GNBR::E::Compound:Gene	0.7387858629226685
GNBR::O::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7385746240615845
DRUGBANK::target::Compound:Gene	GNBR::O::Compound:Gene	0.7378365993499756
bioarx::DrugHumGen:Compound:Gene	GNBR::Z::Compound:Gene	0.7377250790596008
Hetionet::CbG::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7371061444282532
DGIDB::AGONIST::Gene:Compound	DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	0.7368851900100708
bioarx::DrugHumGen:Compound:Gene	GNBR::K::Compound:Gene	0.7366019487380981
GNBR::A+::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7361181974411011
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.7360774278640747
bioarx::DrugHumGen:Compound:Gene	GNBR::O::Compound:Gene	0.7347404956817627
Hetionet::CbG::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7330557703971863
DGIDB::BINDER::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.7297850847244263
GNBR::A-::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.727707028388977
DGIDB::OTHER::Gene:Compound	DGIDB::MODULATOR::Gene:Compound	0.7275453805923462
DGIDB::BLOCKER::Gene:Compound	DGIDB::CHANNEL BLOCKER::Gene:Compound	0.7261227369308472
DRUGBANK::enzyme::Compound:Gene	GNBR::K::Compound:Gene	0.7252160310745239
GNBR::N::Compound:Gene	Hetionet::CbG::Compound:Gene	0.725048303604126
DRUGBANK::enzyme::Compound:Gene	GNBR::E::Compound:Gene	0.7248972654342651
DGIDB::BINDER::Gene:Compound	DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	0.7247929573059082
DGIDB::INHIBITOR::Gene:Compound	DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	0.7234777212142944
DRUGBANK::enzyme::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7224507331848145
DRUGBANK::enzyme::Compound:Gene	GNBR::Z::Compound:Gene	0.7223730087280273
DRUGBANK::target::Compound:Gene	GNBR::E+::Compound:Gene	0.7222400903701782
DRUGBANK::enzyme::Compound:Gene	GNBR::A+::Compound:Gene	0.7219250798225403
INTACT::PHYSICAL ASSOCIATION::Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.7219022512435913
DRUGBANK::enzyme::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.7205933928489685
DRUGBANK::target::Compound:Gene	GNBR::B::Compound:Gene	0.7196424007415771
DRUGBANK::enzyme::Compound:Gene	GNBR::A-::Compound:Gene	0.7182450294494629
bioarx::DrugHumGen:Compound:Gene	GNBR::E+::Compound:Gene	0.7172432541847229
DRUGBANK::carrier::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.716829776763916
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::BLOCKER::Gene:Compound	0.715171217918396
DRUGBANK::carrier::Compound:Gene	INTACT::PHYSICAL ASSOCIATION::Compound:Gene	0.7121607065200806
DRUGBANK::carrier::Compound:Gene	GNBR::A-::Compound:Gene	0.7114776968955994
DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.7104833126068115
GNBR::E-::Compound:Gene	Hetionet::CbG::Compound:Gene	0.7101300954818726
bioarx::DrugHumGen:Compound:Gene	GNBR::B::Compound:Gene	0.7098423838615417
DRUGBANK::carrier::Compound:Gene	GNBR::O::Compound:Gene	0.7097288370132446
DGIDB::BLOCKER::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.7071112394332886
DGIDB::AGONIST::Gene:Compound	DGIDB::BLOCKER::Gene:Compound	0.7065635919570923
GNBR::K::Compound:Gene	Hetionet::CbG::Compound:Gene	0.7062708139419556
DRUGBANK::carrier::Compound:Gene	GNBR::Z::Compound:Gene	0.7061793804168701
DRUGBANK::carrier::Compound:Gene	GNBR::E+::Compound:Gene	0.7059078216552734
DGIDB::AGONIST::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.7046754956245422
GNBR::E::Compound:Gene	Hetionet::CbG::Compound:Gene	0.7040857672691345
Hetionet::CbG::Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.7038091421127319
DGIDB::BINDER::Gene:Compound	DGIDB::MODULATOR::Gene:Compound	0.7020430564880371
GNBR::A-::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.6996040344238281
GNBR::E+::Compound:Gene	Hetionet::CbG::Compound:Gene	0.6995853185653687
GNBR::A-::Compound:Gene	Hetionet::CbG::Compound:Gene	0.6987825036048889
DGIDB::INHIBITOR::Gene:Compound	DGIDB::MODULATOR::Gene:Compound	0.6985375285148621
GNBR::A+::Compound:Gene	Hetionet::CbG::Compound:Gene	0.6961697936058044
DRUGBANK::enzyme::Compound:Gene	GNBR::O::Compound:Gene	0.6956204175949097
GNBR::O::Compound:Gene	Hetionet::CbG::Compound:Gene	0.6949710249900818
GNBR::Z::Compound:Gene	Hetionet::CbG::Compound:Gene	0.694530189037323
DRUGBANK::enzyme::Compound:Gene	GNBR::E+::Compound:Gene	0.6934778094291687
DGIDB::CHANNEL BLOCKER::Gene:Compound	DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	0.6907440423965454
DGIDB::OTHER::Gene:Compound	DGIDB::PARTIAL AGONIST::Gene:Compound	0.6896144151687622
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::MODULATOR::Gene:Compound	0.6844993829727173
DGIDB::AGONIST::Gene:Compound	DGIDB::PARTIAL AGONIST::Gene:Compound	0.6826694011688232
bioarx::DrugHumGen:Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.6814204454421997
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.6808879971504211
INTACT::DIRECT INTERACTION::Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.6808215379714966
GNBR::B::Compound:Gene	Hetionet::CbG::Compound:Gene	0.6793695688247681
DGIDB::AGONIST::Gene:Compound	DGIDB::MODULATOR::Gene:Compound	0.6766848564147949
DRUGBANK::enzyme::Compound:Gene	GNBR::B::Compound:Gene	0.670852780342102
DRUGBANK::carrier::Compound:Gene	GNBR::B::Compound:Gene	0.6703766584396362
DGIDB::MODULATOR::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.6629605889320374
Hetionet::CbG::Compound:Gene	Hetionet::CuG::Compound:Gene	0.6607722043991089
DGIDB::MODULATOR::Gene:Compound	DGIDB::BLOCKER::Gene:Compound	0.6594699621200562
DRUGBANK::target::Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.6578017473220825
DGIDB::BLOCKER::Gene:Compound	DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	0.6530591249465942
DGIDB::CHANNEL BLOCKER::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.6518245339393616
DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.6490867733955383
DGIDB::BINDER::Gene:Compound	DGIDB::PARTIAL AGONIST::Gene:Compound	0.6479387283325195
