Disease::DOID:0050156	idiopathic pulmonary fibrosis	特发性肺纤维化
Disease::DOID:0050425	restless legs syndrome	不宁腿综合征
Disease::DOID:0050741	alcohol dependence	酒精依赖
Disease::DOID:0050742	nicotine dependence	尼古丁依赖
Disease::DOID:0060073	lymphatic system cancer	淋巴系统癌
Disease::DOID:0060119	pharynx cancer	咽癌
Disease::DOID:10021	duodenum cancer	十二指肠癌
Disease::DOID:10153	ileum cancer	回肠癌
Disease::DOID:1024	leprosy	麻风病
Disease::DOID:10283	prostate cancer	前列腺癌
Disease::DOID:10534	stomach cancer	胃癌
Disease::DOID:10608	celiac disease	腹腔疾病
Disease::DOID:10652	Alzheimer's disease	阿尔茨海默病
Disease::DOID:10763	hypertension	高血压
Disease::DOID:10811	nasal cavity cancer	鼻腔癌
Disease::DOID:10871	age related macular degeneration	年龄相关性黄斑变性
Disease::DOID:1094	attention deficit hyperactivity disorder	注意缺陷多动障碍
Disease::DOID:10941	intracranial aneurysm	颅内动脉瘤
Disease::DOID:10976	membranous glomerulonephritis	膜性肾小球肾炎
Disease::DOID:11054	urinary bladder cancer	膀胱癌
Disease::DOID:11119	Gilles de la Tourette syndrome	图雷特综合征
Disease::DOID:1115	sarcoma	肉瘤
Disease::DOID:11476	osteoporosis	骨质疏松症
Disease::DOID:11612	polycystic ovary syndrome	多囊卵巢综合征
Disease::DOID:11615	penile cancer	阴茎癌
Disease::DOID:11714	gestational diabetes	妊娠期糖尿病
Disease::DOID:11819	ureter cancer	输尿管癌
Disease::DOID:119	vaginal cancer	阴道癌
Disease::DOID:1192	peripheral nervous system neoplasm	周围神经系统肿瘤
Disease::DOID:11920	tracheal cancer	气管癌
Disease::DOID:11934	head and neck cancer	头颈部癌
Disease::DOID:11949	Creutzfeldt-Jakob disease	克雅氏病
Disease::DOID:12185	otosclerosis	耳硬化症
Disease::DOID:12236	primary biliary cholangitis	原发性胆道胆管炎
Disease::DOID:12306	vitiligo	白癜风
Disease::DOID:12361	Graves' disease	格雷夫斯病
Disease::DOID:12365	malaria	疟疾
Disease::DOID:1245	vulva cancer	外阴癌
Disease::DOID:12849	autistic disorder	自闭症
Disease::DOID:12930	dilated cardiomyopathy	扩张型心肌病
Disease::DOID:12995	conduct disorder	品行障碍
Disease::DOID:1312	focal segmental glomerulosclerosis	局灶节段性肾小球硬化症
